"Date","Last","Open","High","Low","Vol.","Change %"
"20/12/2024","40,350","40,400","40,450","40,200","3480000","0.37%"
"19/12/2024","40,200","40,600","40,750","40,200","5720000","-1.71%"
"18/12/2024","40,900","41,300","41,600","40,900","2430000","-0.97%"
"17/12/2024","41,300","41,000","41,400","40,800","3710000","0.85%"
"16/12/2024","40,950","40,650","41,150","40,550","2670000","0.74%"
"13/12/2024","40,650","40,700","40,800","40,500","3130000","-0.25%"
"12/12/2024","40,750","40,900","41,150","40,750","2980000","-0.24%"
"11/12/2024","40,850","40,950","41,350","40,800","4020000","-0.24%"
"10/12/2024","40,950","41,450","41,650","40,950","4580000","-1.21%"
"09/12/2024","41,450","41,500","41,900","41,400","3620000","-0.12%"
"06/12/2024","41,500","41,600","42,000","41,200","4870000","0.24%"
"05/12/2024","41,400","40,500","41,800","40,200","4850000","3.24%"
"04/12/2024","40,100","40,700","40,850","40,100","5170000","-1.96%"
"03/12/2024","40,900","40,800","41,300","40,500","5190000","0.37%"
"02/12/2024","40,750","41,100","41,150","40,750","3780000","-0.12%"
"29/11/2024","40,800","41,300","41,300","40,750","5520000","-0.73%"
"28/11/2024","41,100","42,250","42,350","41,100","6510000","-1.91%"
"27/11/2024","41,900","42,200","42,850","41,900","3650000","-1.18%"
"26/11/2024","42,400","42,700","43,300","42,400","4290000","-0.70%"
"25/11/2024","42,700","41,500","42,950","41,450","4400000","2.64%"
"22/11/2024","41,600","42,650","42,750","41,600","9090000","-3.93%"
"21/11/2024","43,300","43,250","43,700","42,850","34400000","0.00%"
"20/11/2024","43,300","42,200","43,400","41,750","28420000","2.61%"
"19/11/2024","42,200","40,900","42,250","40,900","26470000","3.43%"
"18/11/2024","40,800","40,300","40,800","39,600","23030000","1.37%"
"15/11/2024","40,250","40,350","40,600","40,000","17020000","-0.25%"
"14/11/2024","40,350","40,350","41,100","40,300","16950000","0.12%"
"13/11/2024","40,300","40,300","40,700","40,150","14070000","0.00%"
"12/11/2024","40,300","40,600","41,350","40,300","16220000","-0.74%"
"11/11/2024","40,600","40,000","40,850","39,250","15310000","1.50%"
"08/11/2024","40,000","41,300","41,350","40,000","22520000","-3.38%"
"07/11/2024","41,400","41,700","41,700","41,300","16000000","-0.36%"
"06/11/2024","41,550","41,500","41,700","41,300","15060000","0.12%"
"05/11/2024","41,500","41,500","41,800","41,250","14140000","0.00%"
"04/11/2024","41,500","41,500","41,500","40,550","19840000","0.00%"
"01/11/2024","41,500","41,500","42,200","41,300","16950000","0.00%"
"31/10/2024","41,500","41,150","41,550","40,450","23740000","0.85%"
"30/10/2024","41,150","43,000","43,000","40,850","31820000","-3.74%"
"29/10/2024","42,750","42,950","43,050","42,550","17360000","0.12%"
"28/10/2024","42,700","43,700","44,250","42,500","19540000","-2.62%"
"25/10/2024","43,850","44,550","44,650","43,500","24550000","0.00%"
"24/10/2024","43,850","46,600","46,750","43,850","33610000","-6.70%"
"23/10/2024","47,000","48,250","48,350","46,500","33350000","-2.59%"
"22/10/2024","48,250","48,150","48,550","47,400","12670000","0.94%"
"21/10/2024","47,800","45,500","47,800","45,500","21160000","5.64%"
"18/10/2024","45,250","45,700","46,000","45,150","8960000","0.33%"
"17/10/2024","45,100","45,100","45,500","44,800","6680000","0.22%"
"16/10/2024","45,000","44,500","45,200","44,450","6820000","0.78%"
"15/10/2024","44,650","45,500","45,500","44,600","9220000","-1.54%"
"14/10/2024","45,350","45,500","46,400","45,100","20740000","4.01%"
"11/10/2024","43,600","42,450","43,800","42,300","15620000","3.44%"
"10/10/2024","42,150","42,700","42,900","42,150","5450000","-0.82%"
"09/10/2024","42,500","41,650","42,550","41,600","6740000","2.16%"
"08/10/2024","41,600","41,450","41,600","40,700","8580000","0.97%"
"07/10/2024","41,200","41,650","41,800","40,900","7220000","-0.72%"
"04/10/2024","41,500","41,550","41,950","41,150","6760000","-0.24%"
"03/10/2024","41,600","43,000","43,250","41,600","26890000","-4.15%"
"02/10/2024","43,400","43,050","43,450","42,850","7970000","-0.12%"
"01/10/2024","43,450","42,900","44,100","42,900","11220000","1.52%"
"30/09/2024","42,800","43,500","43,500","42,550","9130000","-1.38%"
"27/09/2024","43,400","44,500","44,600","43,000","16360000","-2.25%"
"26/09/2024","44,400","44,200","44,600","44,100","12260000","0.57%"
"25/09/2024","44,150","44,400","44,400","43,800","10670000","-0.23%"
"24/09/2024","44,250","43,650","44,250","43,450","6960000","1.37%"
"23/09/2024","43,650","43,800","44,100","43,150","7380000","-0.23%"
"20/09/2024","43,750","44,200","44,900","43,700","25320000","-0.91%"
"19/09/2024","44,150","43,900","44,400","43,750","9900000","0.57%"
"18/09/2024","43,900","44,100","45,150","43,900","12490000","-0.23%"
"17/09/2024","44,000","41,750","44,000","41,700","15790000","5.39%"
"16/09/2024","41,750","42,850","42,900","41,750","8360000","-2.91%"
"13/09/2024","43,000","43,050","43,400","42,700","5410000","-0.23%"
"12/09/2024","43,100","43,400","43,500","43,100","5660000","0.23%"
"11/09/2024","43,000","42,550","43,150","41,750","13400000","0.47%"
"10/09/2024","42,800","43,150","43,550","42,150","12930000","-0.47%"
"09/09/2024","43,000","43,650","43,650","43,000","10300000","-2.05%"
"06/09/2024","43,900","44,000","44,000","43,250","10230000","0.34%"
"05/09/2024","43,750","42,700","44,450","42,700","22150000","2.94%"
