"Date","Last","Open","High","Low","Vol.","Change %"
"07/06/2021","77,981","78,488","79,444","77,812","4570000","-0.86%"
"04/06/2021","78,656","80,401","80,401","78,544","1920000","-0.85%"
"03/06/2021","79,332","78,769","79,894","78,544","2750000","1.15%"
"02/06/2021","78,431","76,293","78,769","76,125","5300000","2.65%"
"01/06/2021","76,406","75,956","76,406","75,731","2210000","0.89%"
"31/05/2021","75,731","75,393","76,125","75,393","3140000","-0.22%"
"28/05/2021","75,899","76,293","76,518","75,506","3080000","-0.81%"
"27/05/2021","76,518","75,956","77,025","75,618","2630000","1.87%"
"26/05/2021","75,112","75,393","76,237","74,830","2620000","-1.48%"
"25/05/2021","76,237","75,956","76,518","74,718","2170000","0.37%"
"24/05/2021","75,956","77,306","77,644","75,393","1990000","-1.68%"
"21/05/2021","77,250","77,812","78,994","76,518","1940000","-2.62%"
"20/05/2021","79,332","80,401","81,019","76,969","6160000","-0.70%"
"19/05/2021","79,894","80,794","81,470","79,332","4920000","0.21%"
"18/05/2021","79,725","77,644","79,894","77,250","2320000","2.98%"
"17/05/2021","77,419","75,168","77,644","75,168","2570000","2.61%"
"14/05/2021","75,449","74,830","75,899","74,605","3500000","0.07%"
"13/05/2021","75,393","73,143","78,206","72,580","3540000","3.08%"
"12/05/2021","73,143","71,736","73,143","71,455","3860000","1.17%"
"11/05/2021","72,299","72,299","73,424","71,398","7510000","0.00%"
"10/05/2021","72,299","74,830","76,237","72,299","2960000","-5.38%"
"07/05/2021","76,406","76,518","79,332","76,406","4230000","0.07%"
"06/05/2021","76,350","74,549","76,800","73,818","2410000","2.03%"
"05/05/2021","74,830","73,705","75,843","73,480","3140000","1.14%"
"04/05/2021","73,987","73,930","74,268","70,386","3700000","0.08%"
"29/04/2021","73,930","73,143","74,549","72,580","6630000","2.66%"
"28/04/2021","72,017","68,416","72,017","66,672","3970000","5.35%"
"27/04/2021","68,360","64,365","68,642","64,365","3570000","6.21%"
"26/04/2021","64,365","61,046","64,365","60,146","4550000","6.92%"
"23/04/2021","60,202","60,371","60,483","59,696","2740000","-0.28%"
"22/04/2021","60,371","60,765","61,046","59,639","3400000","-1.11%"
"20/04/2021","61,046","61,327","61,777","59,696","5450000","-0.46%"
"19/04/2021","61,327","61,327","61,890","60,483","7750000","0.92%"
"16/04/2021","60,765","57,670","61,665","57,670","6860000","5.37%"
"15/04/2021","57,670","57,783","58,514","56,320","9630000","2.40%"
"14/04/2021","56,320","54,351","56,320","53,732","6410000","3.62%"
"13/04/2021","54,351","54,013","55,138","53,619","5700000","1.37%"
"12/04/2021","53,619","50,918","54,013","50,693","6690000","5.89%"
"09/04/2021","50,637","49,568","50,693","49,343","4010000","1.35%"
"08/04/2021","49,962","49,793","50,693","49,624","4680000","0.79%"
"07/04/2021","49,568","48,837","49,793","48,499","6200000","1.50%"
"06/04/2021","48,837","48,105","49,231","47,599","5280000","1.52%"
"05/04/2021","48,105","48,837","48,837","46,755","6910000","4.27%"
"02/04/2021","46,136","46,417","46,642","46,024","2930000","0.24%"
"01/04/2021","46,024","45,292","46,699","45,292","4420000","1.62%"
"31/03/2021","45,292","45,292","45,461","45,067","2590000","-0.25%"
"30/03/2021","45,405","45,180","45,461","44,955","2510000","0.88%"
"29/03/2021","45,011","45,011","45,067","44,730","2760000","0.63%"
"26/03/2021","44,730","44,842","44,898","44,336","3440000","-0.62%"
"25/03/2021","45,011","44,955","45,573","44,617","3620000","0.25%"
"24/03/2021","44,898","44,898","45,011","44,561","3270000","-0.25%"
"23/03/2021","45,011","45,573","46,136","44,955","5190000","-0.99%"
"22/03/2021","45,461","45,011","45,630","45,011","1990000","2.28%"
"19/03/2021","44,448","45,461","45,686","44,448","5830000","-2.71%"
"18/03/2021","45,686","45,799","46,136","45,011","3330000","0.87%"
"17/03/2021","45,292","45,180","45,517","44,786","7710000","-0.49%"
"16/03/2021","45,517","45,799","46,080","45,236","2990000","-1.22%"
"15/03/2021","46,080","46,249","46,699","45,742","4690000","-0.37%"
"12/03/2021","46,249","46,474","46,586","46,024","2700000","-0.84%"
"11/03/2021","46,642","46,811","46,980","46,192","4520000","0.48%"
"10/03/2021","46,417","46,249","46,417","45,067","4950000","0.61%"
"09/03/2021","46,136","45,799","46,249","45,123","4510000","0.74%"
"08/03/2021","45,799","45,180","45,911","44,448","5730000","1.88%"
"05/03/2021","44,955","45,686","45,799","43,886","4860000","-0.87%"
"04/03/2021","45,348","46,024","46,080","45,011","2880000","-0.98%"
"03/03/2021","45,799","44,504","46,136","44,336","4060000","2.65%"
"02/03/2021","44,617","44,842","45,011","44,561","2860000","-0.50%"
