"Date","Last","Open","High","Low","Vol.","Change %"
"09/06/2023","85,097","84,674","86,367","83,827","968660","0.50%"
"08/06/2023","84,674","82,134","86,113","82,134","1580000","3.09%"
"07/06/2023","82,134","83,827","83,827","82,134","885280","-2.02%"
"06/06/2023","83,827","82,981","83,827","81,710","896970","1.02%"
"05/06/2023","82,981","80,610","83,573","80,610","1530000","3.27%"
"02/06/2023","80,356","79,509","80,440","79,001","871340","1.06%"
"01/06/2023","79,509","80,102","80,102","78,916","763280","-0.11%"
"31/05/2023","79,594","79,509","79,678","78,831","448900","-0.53%"
"30/05/2023","80,017","78,831","80,271","78,239","666680","1.50%"
"29/05/2023","78,831","77,900","80,440","77,900","697380","1.20%"
"26/05/2023","77,900","78,916","79,170","77,900","335050","-1.29%"
"25/05/2023","78,916","78,408","79,594","77,392","716400","0.65%"
"24/05/2023","78,408","78,577","78,577","77,815","404140","-0.22%"
"23/05/2023","78,577","78,747","79,255","77,985","671750","-0.32%"
"22/05/2023","78,831","78,747","79,509","78,069","734940","-1.17%"
"19/05/2023","79,763","80,017","80,356","78,408","519520","-0.84%"
"18/05/2023","80,440","78,662","81,287","78,069","1980000","2.37%"
"17/05/2023","78,577","78,323","78,747","78,154","676360","0.22%"
"16/05/2023","78,408","77,900","78,831","77,307","786660","0.98%"
"15/05/2023","77,646","77,900","78,747","77,223","532040","-1.19%"
"12/05/2023","78,577","77,053","78,577","76,884","839100","1.98%"
"11/05/2023","77,053","77,900","77,985","77,053","597110","-1.09%"
"10/05/2023","77,900","77,815","78,747","77,561","492950","-0.33%"
"09/05/2023","78,154","78,747","79,509","78,154","665380","-0.75%"
"08/05/2023","78,747","76,207","78,916","76,037","1770000","3.56%"
"05/05/2023","76,037","74,936","76,122","74,682","266550","1.47%"
"04/05/2023","74,936","76,207","76,207","74,936","585780","-2.21%"
"28/04/2023","76,630","76,207","76,630","75,191","832250","0.56%"
"27/04/2023","76,207","75,106","76,630","74,852","685450","0.67%"
"26/04/2023","75,699","74,513","75,783","74,428","838750","1.25%"
"25/04/2023","74,767","74,682","74,936","74,090","644590","0.46%"
"24/04/2023","74,428","74,513","74,936","73,666","597350","0.46%"
"21/04/2023","74,090","74,513","74,598","74,005","421030","-0.91%"
"20/04/2023","74,767","75,191","75,191","74,513","304460","-0.23%"
"19/04/2023","74,936","74,598","75,106","74,513","492360","0.57%"
"18/04/2023","74,513","74,767","75,021","74,090","820910","-0.45%"
"17/04/2023","74,852","74,852","74,936","74,344","577390","0.00%"
"14/04/2023","74,852","74,767","75,445","74,682","489880","0.23%"
"13/04/2023","74,682","74,767","74,936","74,344","579870","-0.11%"
"12/04/2023","74,767","74,767","75,021","74,513","612230","0.11%"
"11/04/2023","74,682","75,360","76,207","74,682","887640","-0.90%"
"10/04/2023","75,360","76,207","76,207","75,360","755010","-1.11%"
"07/04/2023","76,207","77,053","77,138","75,783","882440","-1.32%"
"06/04/2023","77,223","77,477","77,985","77,223","444410","-0.98%"
"05/04/2023","77,985","78,154","78,154","77,138","396820","0.11%"
"04/04/2023","77,900","78,577","78,662","77,561","318750","-0.86%"
"03/04/2023","78,577","77,646","78,662","77,223","870040","1.53%"
"31/03/2023","77,392","78,577","78,916","76,630","1120000","-1.40%"
"30/03/2023","78,493","78,154","78,916","77,900","483860","0.43%"
"29/03/2023","78,154","78,323","78,323","76,630","499330","0.54%"
"28/03/2023","77,731","76,884","78,662","76,291","998890","0.88%"
"27/03/2023","77,053","75,360","77,053","74,513","862250","2.25%"
"24/03/2023","75,360","77,053","77,053","75,275","744030","-1.87%"
"23/03/2023","76,799","75,191","76,799","73,920","1000000","1.91%"
"22/03/2023","75,360","73,328","76,122","73,328","1250000","2.89%"
"21/03/2023","73,243","72,312","76,122","72,312","1250000","1.65%"
"20/03/2023","72,058","75,360","75,783","72,058","1220000","-4.38%"
"17/03/2023","75,360","77,053","77,138","75,360","2680000","-2.20%"
"16/03/2023","77,053","77,053","77,900","75,783","951890","-0.44%"
"15/03/2023","77,392","77,561","77,900","77,138","954010","0.44%"
"14/03/2023","77,053","77,053","77,223","76,630","1020000","-0.55%"
"13/03/2023","77,477","77,900","77,900","76,884","896620","-0.65%"
"10/03/2023","77,985","78,069","78,323","77,477","835910","-0.97%"
"09/03/2023","78,747","77,900","79,086","77,646","1300000","0.87%"
"08/03/2023","78,069","77,053","78,069","76,799","1030000","0.33%"
"07/03/2023","77,815","77,477","78,323","77,138","1150000","0.99%"
"06/03/2023","77,053","77,053","78,069","77,053","840750","0.11%"
"03/03/2023","76,969","77,731","78,577","76,969","943150","-2.47%"
"02/03/2023","78,916","78,747","79,424","77,731","1160000","0.22%"
"01/03/2023","78,747","78,154","79,086","78,069","861780","-0.53%"
"28/02/2023","79,170","78,831","79,340","78,408","668210","0.75%"
"27/02/2023","78,577","78,747","79,170","77,646","591680","-0.75%"
"24/02/2023","79,170","78,747","79,594","76,207","745680","0.21%"
"23/02/2023","79,001","78,747","79,594","77,223","1210000","0.32%"
"22/02/2023","78,747","79,763","79,848","78,323","1210000","-1.27%"
"21/02/2023","79,763","79,763","80,356","79,594","797770","0.43%"
"20/02/2023","79,424","78,747","80,017","78,747","1290000","0.86%"
"17/02/2023","78,747","78,747","79,001","77,900","1090000","0.65%"
"16/02/2023","78,239","78,747","79,594","78,069","917170","-0.65%"
"15/02/2023","78,747","78,323","79,763","77,223","1060000","0.54%"
"14/02/2023","78,323","79,170","79,170","77,223","1350000","-1.07%"
"13/02/2023","79,170","80,271","80,779","77,900","1030000","-1.06%"
"10/02/2023","80,017","80,017","80,017","78,577","764930","1.61%"
"09/02/2023","78,747","79,424","80,440","78,747","896850","-1.27%"
"08/02/2023","79,763","77,985","81,456","77,985","1040000","2.39%"
"07/02/2023","77,900","80,694","80,864","77,900","1410000","-4.17%"
"06/02/2023","81,287","78,408","81,541","77,477","1360000","3.23%"
"03/02/2023","78,747","76,461","78,747","75,445","1060000","2.65%"
"02/02/2023","76,715","75,021","77,900","75,021","1160000","1.68%"
"01/02/2023","75,445","77,900","78,323","75,445","1340000","-3.05%"
"31/01/2023","77,815","76,122","77,815","74,344","1710000","2.22%"
"30/01/2023","76,122","77,985","78,323","76,037","1230000","-3.33%"
"27/01/2023","78,747","78,747","80,102","77,477","1830000","0.00%"
"19/01/2023","78,747","75,783","81,287","74,090","2030000","3.33%"
"18/01/2023","76,207","76,207","77,053","75,699","984950","0.67%"
"17/01/2023","75,699","74,936","75,699","73,920","761270","2.41%"
"16/01/2023","73,920","72,820","74,936","72,820","868270","1.75%"
"13/01/2023","72,650","72,142","73,243","72,142","970780","1.18%"
"12/01/2023","71,804","72,142","72,142","70,957","2220000","-0.35%"
"11/01/2023","72,058","73,920","73,920","72,058","1160000","-2.52%"
"10/01/2023","73,920","72,989","76,122","72,989","2490000","0.46%"
"09/01/2023","73,582","72,650","73,582","71,804","1970000","3.45%"
"06/01/2023","71,126","71,126","71,804","71,041","1330000","0.00%"
"05/01/2023","71,126","70,110","71,126","69,856","1270000","1.45%"
"04/01/2023","70,110","70,195","70,195","69,263","989560","0.24%"
