"Date","Last","Open","High","Low","Vol.","Change %"
"09/11/2022","87,000","86,500","87,500","84,500","1230000","1.16%"
"08/11/2022","86,000","84,000","87,800","81,000","1180000","1.78%"
"07/11/2022","84,500","84,300","88,000","82,500","1270000","0.24%"
"04/11/2022","84,300","84,000","85,400","81,000","952900","-1.29%"
"03/11/2022","85,400","80,000","85,400","79,900","737800","5.43%"
"02/11/2022","81,000","86,500","87,000","81,000","893000","-6.36%"
"01/11/2022","86,500","86,400","87,200","83,800","1130000","1.17%"
"31/10/2022","85,500","83,900","86,000","82,700","1330000","1.91%"
"28/10/2022","83,900","83,000","83,900","81,500","1770000","1.08%"
"27/10/2022","83,000","78,700","83,000","77,000","1610000","6.41%"
"26/10/2022","78,000","75,000","78,000","73,300","1010000","4.00%"
"25/10/2022","75,000","72,500","75,000","69,100","1850000","3.02%"
"24/10/2022","72,800","74,800","75,800","69,600","1300000","-2.67%"
"21/10/2022","74,800","81,000","81,000","74,800","1650000","-6.73%"
"20/10/2022","80,200","79,500","80,800","78,500","1680000","0.25%"
"19/10/2022","80,000","82,500","82,500","79,900","1400000","-2.44%"
"18/10/2022","82,000","80,000","83,200","79,900","1770000","3.80%"
"17/10/2022","79,000","78,900","80,500","77,000","1480000","0.00%"
"14/10/2022","79,000","81,000","81,000","79,000","1550000","0.38%"
"13/10/2022","78,700","82,000","82,000","78,000","1010000","-2.96%"
"12/10/2022","81,100","81,400","82,500","79,800","2400000","1.63%"
"11/10/2022","79,800","80,100","80,100","74,900","1970000","-0.87%"
"10/10/2022","80,500","80,000","87,000","77,000","1090000","-1.23%"
"07/10/2022","81,500","84,800","86,600","80,700","1460000","-6.00%"
"06/10/2022","86,700","91,400","91,500","86,000","948300","-5.14%"
"05/10/2022","91,400","93,300","93,300","91,000","559600","0.99%"
"04/10/2022","90,500","93,100","95,000","90,400","991500","-3.72%"
"03/10/2022","94,000","97,000","98,500","92,200","752700","-5.05%"
"30/09/2022","99,000","98,200","103,200","98,200","893200","-1.00%"
"29/09/2022","100,000","102,600","104,100","100,000","443000","-2.06%"
"28/09/2022","102,100","105,100","105,900","102,100","415600","-5.20%"
"27/09/2022","107,700","106,000","108,600","106,000","343300","0.00%"
"26/09/2022","107,700","107,200","109,500","107,000","658100","-0.83%"
"23/09/2022","108,600","109,000","110,000","108,300","353900","-1.27%"
"22/09/2022","110,000","110,900","111,500","108,100","435200","-1.79%"
"21/09/2022","112,000","113,000","113,400","111,100","332400","-1.15%"
"20/09/2022","113,300","112,000","113,400","111,800","302800","0.71%"
"19/09/2022","112,500","111,000","113,500","111,000","548800","-0.27%"
"16/09/2022","112,800","111,800","112,800","109,800","1710000","0.71%"
"15/09/2022","112,000","114,200","114,500","111,000","538400","0.00%"
"14/09/2022","112,000","114,000","114,000","112,000","554500","-1.75%"
"13/09/2022","114,000","114,500","116,400","114,000","542200","-0.87%"
"12/09/2022","115,000","116,100","116,500","114,500","327700","-0.95%"
"09/09/2022","116,100","115,500","117,000","114,400","539300","0.96%"
"08/09/2022","115,000","113,500","115,000","112,000","484100","2.68%"
"07/09/2022","112,000","114,800","115,400","112,000","836300","-2.61%"
"06/09/2022","115,000","115,500","116,600","114,200","337200","-0.43%"
"05/09/2022","115,500","113,500","115,800","113,100","556800","0.87%"
"31/08/2022","114,500","113,800","115,500","113,800","786700","0.70%"
"30/08/2022","113,700","113,000","114,800","112,000","574200","1.34%"
"29/08/2022","112,200","111,000","113,800","111,000","572700","0.00%"
"26/08/2022","112,200","113,500","113,500","112,000","359700","-0.53%"
"25/08/2022","112,800","111,200","113,400","111,000","564700","0.80%"
"24/08/2022","111,900","112,800","114,000","111,900","556200","-0.62%"
"23/08/2022","112,600","111,200","113,000","111,000","649500","0.72%"
"22/08/2022","111,800","112,000","113,800","111,000","460700","-0.18%"
"19/08/2022","112,000","112,000","113,900","110,800","458300","0.00%"
"18/08/2022","112,000","111,500","114,900","110,600","1720000","0.63%"
"17/08/2022","111,300","109,300","111,700","108,500","1170000","2.11%"
"16/08/2022","109,000","108,500","109,200","107,100","619600","0.46%"
"15/08/2022","108,500","107,900","108,800","106,500","554600","1.21%"
"12/08/2022","107,200","106,700","107,200","105,700","252200","0.37%"
"11/08/2022","106,800","106,000","107,500","105,300","772100","0.95%"
"10/08/2022","105,800","105,200","107,000","104,700","560100","0.57%"
"09/08/2022","105,200","106,000","106,100","104,500","502900","0.38%"
"08/08/2022","104,800","104,500","105,800","104,500","637400","0.29%"
"05/08/2022","104,500","107,900","108,000","104,100","1920000","-3.15%"
"04/08/2022","107,900","110,000","110,200","106,700","1590000","-1.91%"
"03/08/2022","110,000","109,500","110,200","106,800","1450000","0.00%"
"02/08/2022","110,000","109,600","111,000","107,100","1110000","0.55%"
"01/08/2022","109,400","107,000","111,000","106,500","730600","3.11%"
"29/07/2022","106,100","111,000","112,000","106,100","840100","-3.46%"
"28/07/2022","109,900","110,000","110,500","108,000","619200","0.00%"
"27/07/2022","109,900","109,200","110,000","108,000","334400","-0.09%"
"26/07/2022","110,000","107,000","110,000","107,000","487400","1.29%"
"25/07/2022","108,600","105,700","111,300","105,700","461100","0.09%"
"22/07/2022","108,500","105,100","109,000","103,700","1240000","2.84%"
"21/07/2022","105,500","103,200","106,900","103,000","1030000","2.43%"
"20/07/2022","103,000","102,100","105,500","102,000","679400","0.98%"
"19/07/2022","102,000","102,500","102,500","101,000","367200","-0.58%"
"18/07/2022","102,600","101,100","103,800","100,500","666600","1.38%"
"15/07/2022","101,200","101,900","103,500","101,000","413900","-1.27%"
"14/07/2022","102,500","101,200","103,000","101,100","356200","1.49%"
"13/07/2022","101,000","100,700","103,700","100,700","549100","-0.98%"
"12/07/2022","102,000","103,500","104,000","101,500","287100","-0.49%"
"11/07/2022","102,500","101,500","103,900","101,500","565100","-2.29%"
"08/07/2022","104,900","103,500","104,900","103,500","609700","1.84%"
"07/07/2022","103,000","100,000","104,500","100,000","444900","3.00%"
"06/07/2022","100,000","102,000","106,200","100,000","1180000","-1.96%"
"05/07/2022","102,000","107,900","108,500","102,000","942500","-5.29%"
"04/07/2022","107,700","109,500","110,000","107,100","357800","-0.92%"
"01/07/2022","108,700","111,082","111,182","108,204","478200","-2.23%"
"30/06/2022","111,182","111,380","113,366","110,685","456000","-1.75%"
"29/06/2022","113,167","108,204","114,160","108,204","713400","0.00%"
"28/06/2022","113,167","112,174","113,366","109,494","1210000","0.89%"
"27/06/2022","112,174","108,998","112,571","107,707","882000","3.20%"
"24/06/2022","108,700","107,707","109,395","107,707","543000","-0.45%"
"23/06/2022","109,196","105,226","109,196","105,226","397300","3.77%"
"22/06/2022","105,226","110,189","113,167","105,226","802700","-4.50%"
"21/06/2022","110,189","109,990","112,969","108,402","954600","0.00%"
"20/06/2022","110,189","114,160","116,642","110,189","862000","-5.13%"
"17/06/2022","116,145","107,211","116,145","106,516","1630000","5.69%"
"16/06/2022","109,891","106,218","112,571","106,218","1390000","4.43%"
"15/06/2022","105,226","106,218","108,204","103,935","997000","-0.28%"
"14/06/2022","105,523","103,339","108,998","103,339","1660000","-2.48%"
"13/06/2022","108,204","112,274","114,160","108,204","1100000","-6.84%"
"10/06/2022","116,145","114,259","117,634","114,259","632500","-1.27%"
"09/06/2022","117,634","117,634","119,123","117,237","711400","-0.67%"
"08/06/2022","118,428","117,138","120,612","117,039","1320000","1.19%"
"07/06/2022","117,039","114,259","117,039","112,373","1460000","0.77%"
"06/06/2022","116,145","111,976","116,145","107,211","1730000","3.72%"
"03/06/2022","111,976","113,663","113,663","110,685","394800","-1.31%"
"02/06/2022","113,465","114,160","114,160","112,075","457800","-0.61%"
"01/06/2022","114,160","109,196","114,160","109,196","1100000","2.31%"
"31/05/2022","111,579","107,211","111,579","107,211","1270000","2.18%"
"30/05/2022","109,196","109,196","109,196","108,104","671100","0.00%"
"27/05/2022","109,196","108,005","111,082","107,211","771700","1.29%"
"26/05/2022","107,807","109,693","109,891","107,211","834000","-1.72%"
"25/05/2022","109,693","108,204","112,671","106,715","829700","1.38%"
"24/05/2022","108,204","103,737","109,097","103,240","829900","4.31%"
"23/05/2022","103,737","107,807","108,104","103,240","700700","-3.06%"
"20/05/2022","107,012","108,998","110,884","106,218","930900","-2.36%"
"19/05/2022","109,593","101,255","109,593","99,269","1720000","6.98%"
"18/05/2022","102,446","97,383","102,446","92,817","1290000","6.94%"
"17/05/2022","95,795","87,357","95,795","85,074","1570000","6.98%"
"16/05/2022","89,541","98,277","98,872","89,541","1050000","-6.91%"
"13/05/2022","96,192","102,347","104,233","96,192","1760000","-6.92%"
"12/05/2022","103,339","111,082","111,877","103,339","1060000","-6.97%"
"11/05/2022","111,082","112,869","114,160","110,685","990800","-3.62%"
"10/05/2022","115,252","113,266","115,252","109,395","1090000","1.04%"
"09/05/2022","114,061","115,153","115,351","110,189","1080000","-1.79%"
"06/05/2022","116,145","114,160","117,634","114,160","825300","-1.68%"
"05/05/2022","118,131","113,167","118,131","112,571","933300","5.22%"
"04/05/2022","112,274","115,153","115,947","112,174","512200","-2.50%"
"29/04/2022","115,153","116,145","117,734","114,259","1100000","-0.43%"
"28/04/2022","115,649","118,131","119,024","115,649","837600","-2.10%"
"27/04/2022","118,131","115,153","120,910","110,189","1240000","2.59%"
"26/04/2022","115,153","115,847","123,193","108,303","2210000","0.00%"
"25/04/2022","115,153","123,690","123,690","114,954","1080000","-5.92%"
"22/04/2022","122,399","122,101","124,087","121,605","1750000","0.24%"
"21/04/2022","122,101","121,109","124,087","121,109","1510000","-1.05%"
"20/04/2022","123,392","120,513","124,087","119,620","1120000","3.15%"
"19/04/2022","119,620","123,987","124,583","118,627","943100","-2.82%"
"18/04/2022","123,094","125,576","125,576","123,094","890800","-0.80%"
"15/04/2022","124,087","125,278","125,675","123,193","1020000","-0.56%"
"14/04/2022","124,782","126,072","126,568","123,590","800000","-0.95%"
"13/04/2022","125,973","125,079","128,554","125,079","989500","1.20%"
"12/04/2022","124,484","129,050","129,050","122,995","1370000","1.33%"
"08/04/2022","122,846","125,328","125,328","122,846","1400000","-1.66%"
"07/04/2022","124,914","128,223","128,223","124,914","1340000","-1.82%"
"06/04/2022","127,230","125,658","128,223","124,169","1650000","1.45%"
"05/04/2022","125,410","125,576","127,230","124,087","887160","1.07%"
"04/04/2022","124,087","123,259","128,223","122,846","2020000","2.39%"
"01/04/2022","121,191","119,123","122,929","117,882","970440","3.02%"
"31/03/2022","117,634","119,041","119,371","117,386","707040","-1.25%"
"30/03/2022","119,123","118,379","120,364","117,551","810480","0.00%"
"29/03/2022","119,123","120,778","121,936","118,710","714240","-1.10%"
"28/03/2022","120,447","119,950","120,695","118,296","756000","-0.55%"
"25/03/2022","121,109","121,605","122,267","119,702","654720","-0.14%"
